Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.1739856005145601,530.1843334436417,0.6129166666666667
1.0,0.7724845711531895,405.7058501839638,0.6653333333333333
2.0,0.6329588137865158,355.4225853085518,0.68075
3.0,0.5690476424205504,316.29310059547424,0.6920833333333334
4.0,0.5299489507501193,295.91047009825706,0.7046666666666667
5.0,0.508424563374161,277.57589983940125,0.7198333333333333
6.0,0.4884347687181922,265.8505684733391,0.7306666666666667
7.0,0.4781050343105991,255.79690000414848,0.7464166666666666
8.0,0.46105712699550727,245.5567206442356,0.76325
9.0,0.4556015752797936,240.18251529335976,0.7705833333333333
10.0,0.4433820133344436,231.6765059530735,0.7810833333333334
11.0,0.4400105205367396,225.70039254426956,0.7895
12.0,0.43485190215288916,223.083986222744,0.792
13.0,0.4296504255850705,218.27193731069565,0.7963333333333333
14.0,0.42456558647289083,215.82213208079338,0.79925
15.0,0.41889934726350836,213.29020845890045,0.79975
16.0,0.4119279712881236,209.05888628959656,0.8028333333333333
17.0,0.4103776344411245,206.3307550996542,0.8064166666666667
18.0,0.4055517054958795,202.41020262241364,0.8115
19.0,0.40301335110119685,200.469710662961,0.8123333333333334
