Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.0188828524533546,566.8219698667526,0.59125
1.0,0.5345962393577803,441.83391612768173,0.6700833333333334
2.0,0.40063310731513935,376.3846732676029,0.71275
3.0,0.33954613465845135,328.28399935364723,0.75075
4.0,0.3036768660508096,298.079891204834,0.778
5.0,0.28044251481994537,275.3903159201145,0.7925833333333333
6.0,0.2638469209205134,253.08414040505886,0.80325
7.0,0.2493719412191912,237.4063953757286,0.8110833333333334
8.0,0.2344495948823169,226.3436371088028,0.8178333333333333
9.0,0.22562462641527933,211.96514628827572,0.8288333333333333
10.0,0.21472940109689354,204.28660909831524,0.8335
11.0,0.20704617689104018,195.34199567884207,0.8394166666666667
12.0,0.19842934019607353,190.5023635327816,0.8428333333333333
13.0,0.1943076288611092,179.74230804294348,0.851
14.0,0.18651445698191157,173.94095589965582,0.8573333333333333
15.0,0.18112958370795984,170.328721024096,0.859
16.0,0.17529165220246226,166.34821108728647,0.862
17.0,0.17088897800677824,162.24445390701294,0.8656666666666667
18.0,0.1652487898382161,153.89496091008186,0.8724166666666666
19.0,0.15707225725938087,150.82196957617998,0.875
