Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.3113863559005026,549.5410594940186,0.5824166666666667
1.0,0.7133756874525722,392.86674124002457,0.67475
2.0,0.5134371544277166,309.89289236068726,0.7281666666666666
3.0,0.42235802569428654,262.1841874420643,0.7725
4.0,0.3710233216312724,233.3644231557846,0.7990833333333334
5.0,0.3404626124827908,212.51481713354588,0.82175
6.0,0.3173540591098668,199.57964004576206,0.8348333333333333
7.0,0.3018660152958699,188.17535305023193,0.8476666666666667
8.0,0.2894132680086207,179.7103021144867,0.85675
9.0,0.2813455093817807,171.03531304001808,0.8635833333333334
10.0,0.2718290165759514,165.32183631509542,0.8681666666666666
11.0,0.26384535418800165,161.81323145329952,0.8689166666666667
12.0,0.25858849804882544,158.4698366522789,0.8735
13.0,0.25398075040083223,153.5188651829958,0.8783333333333333
14.0,0.24825883201341878,149.8422341272235,0.8816666666666667
15.0,0.2443543792215241,149.0233760625124,0.882
16.0,0.24059132746557946,145.85394222289324,0.8846666666666667
17.0,0.23588523935594843,143.28224562853575,0.8876666666666667
18.0,0.23142797831465042,140.10306312143803,0.89
19.0,0.22783341723811495,137.26050590723753,0.8924166666666666
