Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.4693374741564962,2453.085624694824,0.12319711538461539
1.0,0.36489537564191243,2324.677823781967,0.15833333333333333
2.0,0.3287649009061547,2231.5753152370453,0.18962339743589743
3.0,0.30643724475993767,2169.8486857414246,0.21001602564102564
4.0,0.29088264378906825,2128.1244688034058,0.21911057692307692
5.0,0.2782250464378717,2104.5043439865112,0.22552083333333334
6.0,0.26866668079908107,2087.416558265686,0.22856570512820512
7.0,0.26064937675546895,2072.026837348938,0.2310096153846154
8.0,0.2525504001736508,2059.8913031816483,0.23317307692307693
9.0,0.24597579835368888,2039.8395819664001,0.23842147435897437
10.0,0.24157949754286276,2023.6119244098663,0.2422676282051282
11.0,0.23630710876230313,2017.1484043598175,0.24190705128205128
12.0,0.23171548979281922,2001.4440242052078,0.24423076923076922
13.0,0.22767423733449516,1990.2676728963852,0.24511217948717948
14.0,0.22394822837656003,1976.6636580228806,0.24859775641025642
15.0,0.2200621792448792,1965.2521448135376,0.25044070512820515
16.0,0.21680463788006438,1940.1056914329529,0.25801282051282054
17.0,0.21369596774473176,1926.4978885650635,0.2605769230769231
18.0,0.20956278117331237,1908.9721291065216,0.26290064102564104
19.0,0.20778470385901218,1895.0288834571838,0.2655448717948718
