Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.8929515386516514,558.5193780660629,0.493
1.0,0.5867217427927216,384.3492768406868,0.6384166666666666
2.0,0.4700303151253857,339.4281145334244,0.6685
3.0,0.42318570042014814,307.14819061756134,0.68825
4.0,0.39399433571317877,279.5798754096031,0.7175
5.0,0.3779011377367243,263.21798291802406,0.7373333333333333
6.0,0.3641948202357765,251.31975361704826,0.75025
7.0,0.35213852240530896,234.24212822318077,0.77425
8.0,0.34169696387667126,228.26092889904976,0.7795
9.0,0.33381467886655775,219.72455503046513,0.78975
10.0,0.33148548348955637,214.11698839068413,0.7948333333333333
11.0,0.3202238061001482,211.0779238641262,0.7976666666666666
12.0,0.3172779348091773,206.3116260021925,0.8055833333333333
13.0,0.3092576734962055,200.87567944824696,0.8110833333333334
14.0,0.30907498860746135,196.7766234278679,0.8155
15.0,0.3003090631239903,191.9175617545843,0.8204166666666667
16.0,0.2985276753998152,190.4412787258625,0.8218333333333333
17.0,0.2963017477248239,188.71933370828629,0.8243333333333334
18.0,0.2894446650462545,186.05683067440987,0.8263333333333334
19.0,0.2889561120439229,182.70348599553108,0.8293333333333334
